method,lambda_val,epoch,train_total_loss,train_ce_loss,train_aux_loss,train_src_acc,eval_src_acc,eval_tgt_acc,target_acc,target_macro_f1,mmd2,sinkhorn_div,domain_auc,domain_acc,ot_on_diag,recall_elliptical,recall_irregular,recall_spiral,cmmd_elliptical,cmmd_irregular,cmmd_spiral,domAUC_elliptical,domAUC_irregular,domAUC_spiral,phase,epoch_original
DANN,0.1,1,1.2662697265334164,0.5831803947370103,0.683089331320837,77.73333333333333,77.90322580645162,38.1,38.1,0.1884090496972239,0.407408150412325,0.1594187915325164,0.982917274052478,0.9330357142857144,,0.0084317032040472,0.0,1.0,1.1638704199672674,0.7469283693401358,0.4344389535067119,0.9989847028563692,0.9583333333333334,0.947929203539823,initial,1
DANN,0.1,2,1.2115190067189805,0.5423198345493763,0.66919917565711,79.06666666666666,62.33870967741935,48.5,48.5,0.3103861615122532,0.3222513055523919,0.1049230769276619,0.9689868804664724,0.9211309523809524,,0.2225969645868465,0.0,0.9388297872340424,0.890149623701681,0.6178387760549643,0.3488411489541594,0.9946527683768784,0.9050925925925928,0.924637168141593,initial,2
DANN,0.1,3,1.1952726225903694,0.5257041943094409,0.6695684276996775,79.43333333333334,77.09677419354838,39.7,39.7,0.2101405262360809,0.2847656695530211,0.090890534222126,0.9699252915451896,0.8913690476190477,,0.0404721753794266,0.0,0.9920212765957448,0.949258439094388,0.5924757144933464,0.3124488718407439,0.9972925409503182,0.8935185185185184,0.8976637168141594,initial,3
DANN,0.1,4,1.174915016120207,0.5159838241888276,0.6589311874927358,79.88888888888889,71.45161290322581,48.5,48.5,0.3074893279910707,0.4071723250548396,0.1354894042015075,0.9806304664723032,0.9434523809523808,,0.209106239460371,0.0,0.9601063829787234,1.0783031873662434,0.6543559585535159,0.3946123719960459,0.9962772438066874,0.9189814814814816,0.959787610619469,initial,4
DANN,0.1,5,1.1646425901575292,0.5147538572972548,0.6498887357136882,79.84444444444445,77.25806451612904,41.0,41.0,0.2305683958226331,0.4073554339039936,0.1367052793502807,0.9819606413994167,0.9404761904761904,,0.0758853288364249,0.0,0.9707446808510638,1.1204341296072031,0.5986590993675658,0.387111933808117,0.9975632868552864,0.9097222222222224,0.944991150442478,initial,5
DANN,0.1,6,1.163774273919721,0.4964816185071113,0.6672926566279527,80.88888888888889,75.08064516129032,40.9,40.9,0.2281323489198796,0.2305650981488609,0.0670647099614143,0.9284894314868803,0.8318452380952381,,0.0708263069139966,0.0,0.976063829787234,0.9427437569950644,0.4858063326295716,0.2349331175833073,0.9951265737105726,0.8703703703703703,0.8603185840707964,resume,1
DANN,0.1,7,1.1747509262240523,0.5114920294665276,0.663258895383659,80.03333333333333,69.19354838709677,47.3,47.3,0.3014163896516837,0.184332429918406,0.0606373809278011,0.9549927113702624,0.8675595238095238,,0.2107925801011804,0.0,0.925531914893617,0.8823143508038955,0.4648219806249514,0.1932407297517271,0.9963449302829296,0.8680555555555555,0.8976637168141592,resume,2
DANN,0.1,8,1.1529272769359833,0.5004697209554361,0.652457558094187,80.81111111111112,73.38709677419355,47.8,47.8,0.3055375172093111,0.1676195697338347,0.0515106096863746,0.95928389212828,0.8854166666666666,,0.2175379426644182,0.0,0.928191489361702,0.861971728499602,0.407675408348199,0.1856241015864983,0.99106538513605,0.849537037037037,0.8939469026548672,resume,3
DANN,0.1,9,1.1524413012443704,0.4974361735772579,0.6550051290938195,80.5,72.58064516129032,47.8,47.8,0.3033667298492644,0.1617488454680724,0.0589282661676406,0.9334274781341108,0.8467261904761905,,0.2074198988195615,0.0,0.9441489361702128,0.8517012791829792,0.422483212940691,0.1959736947629355,0.9877487478001896,0.837962962962963,0.8418407079646019,resume,4
DANN,0.1,10,1.156558021797356,0.4941478280205253,0.6624101911876219,80.53333333333333,79.91935483870968,42.2,42.2,0.2448384102879436,0.1657393124610942,0.0437330231070518,0.921984329446064,0.8318452380952381,,0.0994940978077571,0.0,0.9654255319148936,0.8056465127864714,0.370938723377658,0.2166715341528955,0.982739948558278,0.8148148148148148,0.8470796460176991,resume,5
MMD,0.1,1,0.5898193371422747,0.5828691951349272,0.0695014070745901,77.23333333333333,78.62903225806451,38.6,38.6,0.1945599803164104,0.1036247300658015,0.0362829305231571,0.8424380466472304,0.7648809523809523,,0.0168634064080944,0.0,1.0,0.5256794465239287,0.3286251360310648,0.1764400539173789,0.9779342087450928,0.7777777777777778,0.7738053097345132,initial,1
MMD,0.1,2,0.5313568628320458,0.5262758837524035,0.0508097902680119,79.9,80.96774193548387,39.5,39.5,0.2085710641893238,0.0978571050200123,0.0308935455977916,0.927259475218659,0.8556547619047619,,0.0387858347386172,0.0,0.9893617021276596,0.5149238898022674,0.2792730424636064,0.1203410789238792,0.979626370651144,0.7453703703703703,0.8122477876106194,initial,2
MMD,0.1,3,0.5107370244061693,0.5057967522359909,0.0494027406188613,80.34444444444445,78.95161290322581,38.3,38.3,0.1908797987176365,0.0748829379594511,0.0336811393499374,0.9341381195335277,0.8824404761904762,,0.0118043844856661,0.0,1.0,0.5184672706881526,0.2447285163578434,0.1012235891551649,0.9732638418843914,0.7523148148148149,0.8168495575221238,initial,3
